<STATUS> at <TIME> (@100 ns),,push,pop,peek,clear,din,,full(exp:act),empty(exp:act),dout(exp:act)
SUCCESS at 200 ns,,0,0,0,1,--------,,0:0,1:1,--------:00000000
SUCCESS at 300 ns,,0,0,0,1,--------,,0:0,1:1,--------:00000000
SUCCESS at 400 ns,,1,0,0,0,00000000,,0:0,0:0,--------:00000000
SUCCESS at 500 ns,,0,0,1,0,--------,,0:0,0:0,00000000:00000000
SUCCESS at 600 ns,,1,0,0,0,00000001,,0:0,0:0,--------:00000001
SUCCESS at 700 ns,,0,0,1,0,--------,,0:0,0:0,00000001:00000001
SUCCESS at 800 ns,,1,0,0,0,00000010,,0:0,0:0,--------:00000010
SUCCESS at 900 ns,,0,0,1,0,--------,,0:0,0:0,00000010:00000010
SUCCESS at 1000 ns,,1,0,0,0,00000011,,0:0,0:0,--------:00000011
SUCCESS at 1100 ns,,0,0,1,0,--------,,0:0,0:0,00000011:00000011
SUCCESS at 1200 ns,,1,0,0,0,00000100,,0:0,0:0,--------:00000100
SUCCESS at 1300 ns,,0,0,1,0,--------,,0:0,0:0,00000100:00000100
SUCCESS at 1400 ns,,1,0,0,0,00000101,,0:0,0:0,--------:00000101
SUCCESS at 1500 ns,,0,0,1,0,--------,,0:0,0:0,00000101:00000101
SUCCESS at 1600 ns,,1,0,0,0,00000110,,0:0,0:0,--------:00000110
SUCCESS at 1700 ns,,0,0,1,0,--------,,0:0,0:0,00000110:00000110
SUCCESS at 1800 ns,,1,0,0,0,00000111,,0:0,0:0,--------:00000111
SUCCESS at 1900 ns,,0,0,1,0,--------,,0:0,0:0,00000111:00000111
SUCCESS at 2000 ns,,1,0,0,0,00001000,,0:0,0:0,--------:00001000
SUCCESS at 2100 ns,,0,0,1,0,--------,,0:0,0:0,00001000:00001000
SUCCESS at 2200 ns,,1,0,0,0,00001001,,0:0,0:0,--------:00001001
SUCCESS at 2300 ns,,0,0,1,0,--------,,0:0,0:0,00001001:00001001
SUCCESS at 2400 ns,,1,0,0,0,00001010,,0:0,0:0,--------:00001010
SUCCESS at 2500 ns,,0,0,1,0,--------,,0:0,0:0,00001010:00001010
SUCCESS at 2600 ns,,1,0,0,0,00001011,,0:0,0:0,--------:00001011
SUCCESS at 2700 ns,,0,0,1,0,--------,,0:0,0:0,00001011:00001011
SUCCESS at 2800 ns,,1,0,0,0,00001100,,0:0,0:0,--------:00001100
SUCCESS at 2900 ns,,0,0,1,0,--------,,0:0,0:0,00001100:00001100
SUCCESS at 3000 ns,,1,0,0,0,00001101,,0:0,0:0,--------:00001101
SUCCESS at 3100 ns,,0,0,1,0,--------,,0:0,0:0,00001101:00001101
SUCCESS at 3200 ns,,1,0,0,0,00001110,,0:0,0:0,--------:00001110
SUCCESS at 3300 ns,,0,0,1,0,--------,,0:0,0:0,00001110:00001110
SUCCESS at 3400 ns,,1,0,0,0,00001111,,0:0,0:0,--------:00001111
SUCCESS at 3500 ns,,0,0,1,0,--------,,0:0,0:0,00001111:00001111
SUCCESS at 3600 ns,,1,0,0,0,00010000,,0:0,0:0,--------:00010000
SUCCESS at 3700 ns,,0,0,1,0,--------,,0:0,0:0,00010000:00010000
SUCCESS at 3800 ns,,1,0,0,0,00010001,,0:0,0:0,--------:00010001
SUCCESS at 3900 ns,,0,0,1,0,--------,,0:0,0:0,00010001:00010001
SUCCESS at 4000 ns,,1,0,0,0,00010010,,0:0,0:0,--------:00010010
SUCCESS at 4100 ns,,0,0,1,0,--------,,0:0,0:0,00010010:00010010
SUCCESS at 4200 ns,,1,0,0,0,00010011,,0:0,0:0,--------:00010011
SUCCESS at 4300 ns,,0,0,1,0,--------,,0:0,0:0,00010011:00010011
SUCCESS at 4400 ns,,1,0,0,0,00010100,,0:0,0:0,--------:00010100
SUCCESS at 4500 ns,,0,0,1,0,--------,,0:0,0:0,00010100:00010100
SUCCESS at 4600 ns,,1,0,0,0,00010101,,0:0,0:0,--------:00010101
SUCCESS at 4700 ns,,0,0,1,0,--------,,0:0,0:0,00010101:00010101
SUCCESS at 4800 ns,,1,0,0,0,00010110,,0:0,0:0,--------:00010110
SUCCESS at 4900 ns,,0,0,1,0,--------,,0:0,0:0,00010110:00010110
SUCCESS at 5000 ns,,1,0,0,0,00010111,,0:0,0:0,--------:00010111
SUCCESS at 5100 ns,,0,0,1,0,--------,,0:0,0:0,00010111:00010111
SUCCESS at 5200 ns,,1,0,0,0,00011000,,0:0,0:0,--------:00011000
SUCCESS at 5300 ns,,0,0,1,0,--------,,0:0,0:0,00011000:00011000
SUCCESS at 5400 ns,,1,0,0,0,00011001,,0:0,0:0,--------:00011001
SUCCESS at 5500 ns,,0,0,1,0,--------,,0:0,0:0,00011001:00011001
SUCCESS at 5600 ns,,1,0,0,0,00011010,,0:0,0:0,--------:00011010
SUCCESS at 5700 ns,,0,0,1,0,--------,,0:0,0:0,00011010:00011010
SUCCESS at 5800 ns,,1,0,0,0,00011011,,0:0,0:0,--------:00011011
SUCCESS at 5900 ns,,0,0,1,0,--------,,0:0,0:0,00011011:00011011
SUCCESS at 6000 ns,,1,0,0,0,00011100,,0:0,0:0,--------:00011100
SUCCESS at 6100 ns,,0,0,1,0,--------,,0:0,0:0,00011100:00011100
SUCCESS at 6200 ns,,1,0,0,0,00011101,,0:0,0:0,--------:00011101
SUCCESS at 6300 ns,,0,0,1,0,--------,,0:0,0:0,00011101:00011101
SUCCESS at 6400 ns,,1,0,0,0,00011110,,0:0,0:0,--------:00011110
SUCCESS at 6500 ns,,0,0,1,0,--------,,0:0,0:0,00011110:00011110
SUCCESS at 6600 ns,,1,0,0,0,00011111,,0:0,0:0,--------:00011111
SUCCESS at 6700 ns,,0,0,1,0,--------,,0:0,0:0,00011111:00011111
SUCCESS at 6800 ns,,1,0,0,0,00100000,,0:0,0:0,--------:00100000
SUCCESS at 6900 ns,,0,0,1,0,--------,,0:0,0:0,00100000:00100000
SUCCESS at 7000 ns,,1,0,0,0,00100001,,0:0,0:0,--------:00100001
SUCCESS at 7100 ns,,0,0,1,0,--------,,0:0,0:0,00100001:00100001
SUCCESS at 7200 ns,,1,0,0,0,00100010,,0:0,0:0,--------:00100010
SUCCESS at 7300 ns,,0,0,1,0,--------,,0:0,0:0,00100010:00100010
SUCCESS at 7400 ns,,1,0,0,0,00100011,,0:0,0:0,--------:00100011
SUCCESS at 7500 ns,,0,0,1,0,--------,,0:0,0:0,00100011:00100011
SUCCESS at 7600 ns,,1,0,0,0,00100100,,0:0,0:0,--------:00100100
SUCCESS at 7700 ns,,0,0,1,0,--------,,0:0,0:0,00100100:00100100
